VegPotID;SubModuleID;ParameterEstimate
1;1;0.084100408
1;1;-0.001859161
1;1;0.004164756
1;1;-0.001569371
1;1;0.001781526
1;1;0.074141275
1;1;-0.001596473
1;1;0.001848524
1;1;0.001985447
1;1;0.007342637
1;1;-0.001680984
1;1;0.001790621
1;1;0.001851885
1;1;0.001945397
1;1;0.01019808
1;1;-0.00131318
1;1;0.001857614
1;1;0.002038339
1;1;0.002293078
1;1;0.00198607
1;1;0.031258902
1;1;-0.001565824
1;1;0.001856545
1;1;0.002260646
1;1;0.002337428
1;1;0.001935512
1;1;0.002383372
1;1;0.004501632
1;1;-8.49033e-4
1;1;0.001859102
1;1;0.002321237
1;1;0.002304507
1;1;0.001955149
1;1;0.002386871
1;1;0.002543292
1;1;0.020513549
1;1;-0.001486336
1;1;0.001800636
1;1;0.001885915
1;1;0.002021891
1;1;0.001869763
1;1;0.002082999
1;1;0.002052095
1;1;0.002098586
1;1;0.01259639
1;1;-0.0012844
1;1;0.001845376
1;1;0.002368946
1;1;0.002290813
1;1;0.001915478
1;1;0.002381411
1;1;0.002551612
1;1;0.002476942
1;1;0.001993862
1;1;0.013075515
1;1;-0.001209218
1;1;0.001852657
1;1;0.002108623
1;1;0.002298982
1;1;0.00204676
1;1;0.002498668
1;1;0.002417454
1;1;0.002813162
1;1;0.002171468
1;1;0.002417741
1;1;0.028154792
1;1;0.001789947
1;1;-0.004159741
1;1;-0.002068783
1;1;-0.00183235
1;1;-0.001771993
1;1;-0.001863517
1;1;-0.001856741
1;1;-0.002021816
1;1;-0.001808419
1;1;-0.001840366
1;1;-0.001991607
1;1;0.017970994
1;1;0.001803476
1;1;-0.004129076
1;1;-0.001698801
1;1;-0.005500365
1;1;-0.001730836
1;1;-0.00171118
1;1;-0.001684458
1;1;-0.001665927
1;1;-0.001719944
1;1;-0.001713984
1;1;-0.001638865
1;1;0.004136469
1;1;0.012219307
1;1;0.001691965
1;1;-0.004109417
1;1;-0.001654083
1;1;-0.001769683
1;1;-0.010004293
1;1;-0.001791343
